Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Audio Français,Audio Anglais,Double,Dernier Épisode Visionné,Année(s) saison,Dernière saison
Moon Knight - 05 L’Asile,Marvel 300 - Moon Knight - 05 Asylum,2022,,E,E,E:\Moon Knight\Moon.Knight.S01E05.MULTi.1080p.DSNP.WEBRip.DDP5.1.x265-R3MiX.mkv,E:\Moon Knight\Moon.Knight.S01E05.MULTi.1080p.DSNP.WEBRip.DDP5.1.x265-R3MiX.mkv,,,,
Moon Knight - 06 Des dieux et des monstres,Marvel 300 - Moon Knight - 06 Gods and Monsters,2022,,E,E,E:\Moon Knight\Moon.Knight.S01E06.FiNAL.MULTi.WiTH.TRUEFRENCH.VF2.1080p.DSNP.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,E:\Moon Knight\Moon.Knight.S01E06.FiNAL.MULTi.WiTH.TRUEFRENCH.VF2.1080p.DSNP.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,,,,
Ms. Marvel,Marvel 320 - Ms. Marvel,2022,Picture 5589,E,E,,,,,,2022
Ms. Marvel - 01 Les origines,Marvel 320 - Ms. Marvel - 01 Generation Why,2022,,E,E,E:\Ms. Marvel\Miss.Marvel.S01E01.MULTi.1080p.WEBRiP.x265-KAF.mkv,E:\Ms. Marvel\Miss.Marvel.S01E01.MULTi.1080p.WEBRiP.x265-KAF.mkv,,,,
Ms. Marvel - 02 Première mission,Marvel 320 - Ms. Marvel - 02 Crushed ,2022,,E,E,E:\Ms. Marvel\Miss.Marvel.S01E02.MULTi.1080p.WEBRiP.x265-KAF.mkv,E:\Ms. Marvel\Miss.Marvel.S01E02.MULTi.1080p.WEBRiP.x265-KAF.mkv,,,,
Ms. Marvel - 03 Sa destinée,Marvel 320 - Ms. Marvel - 03 Destined,2022,,E,E,E:\Ms. Marvel\Miss.Marvel.S01E03.MULTi.1080p.WEBRiP.x265-KAF.mkv,E:\Ms. Marvel\Miss.Marvel.S01E03.MULTi.1080p.WEBRiP.x265-KAF.mkv,,,,
Ms. Marvel - 04 Retour aux sources,Marvel 320 - Ms. Marvel - 04 Seeing Red,2022,,E,E,E:\Ms. Marvel\Miss.Marvel.S01E04.MULTi.1080p.WEBRiP.x265-KAF.mkv,E:\Ms. Marvel\Miss.Marvel.S01E04.MULTi.1080p.WEBRiP.x265-KAF.mkv,,,,
Ms. Marvel - 05 D’une époque à une autre,Marvel 320 - Ms. Marvel - 05 Time and Again ,2022,,E,E,E:\Ms. Marvel\Miss.Marvel.S01E05.MULTi.1080p.WEBRiP.x265-KAF.mkv,E:\Ms. Marvel\Miss.Marvel.S01E05.MULTi.1080p.WEBRiP.x265-KAF.mkv,,,,
Ms. Marvel - 06 Retour à la normale,Marvel 320 - Ms. Marvel - 06 No Normal,2022,,E,E,E:\Ms. Marvel\Miss.Marvel.S01E06.FiNAL.MULTi.1080p.WEBRiP.x265-KAF.mkv,E:\Ms. Marvel\Miss.Marvel.S01E06.FiNAL.MULTi.1080p.WEBRiP.x265-KAF.mkv,,,,
Peacemaker,Peacemaker,2022,Picture 5410,E,E,,,,,,
Peacemaker - Saison 01,Peacemaker - Season 01,2022,,E,E,,,,,2022,
Peacemaker - Saison 01 - 01 A Whole New Whirled,Peacemaker - Season 01 - 01 A Whole New Whirled,2022,,E,E,K:\Peacemaker - Saison 01\Peacemaker - S01E01 - A Whole New Whirled [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,K:\Peacemaker - Saison 01\Peacemaker - S01E01 - A Whole New Whirled [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,,,,
"Peacemaker - Saison 01 - 02 Best Friends, For Never","Peacemaker - Season 01 - 02 Best Friends, For Never",2022,,E,E,K:\Peacemaker - Saison 01\Peacemaker - S01E02 - Best Friends For Never [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,K:\Peacemaker - Saison 01\Peacemaker - S01E02 - Best Friends For Never [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,,,,
Peacemaker - Saison 01 - 03 Better Goff Dead,Peacemaker - Season 01 - 03 Better Goff Dead,2022,,E,E,K:\Peacemaker - Saison 01\Peacemaker - S01E03 - Better Goff Dead [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,K:\Peacemaker - Saison 01\Peacemaker - S01E03 - Better Goff Dead [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,,,,
Peacemaker - Saison 01 - 04 The Choad Less Traveled,Peacemaker - Season 01 - 04 The Choad Less Traveled,2022,,E,E,K:\Peacemaker - Saison 01\Peacemaker - S01E04 - The Choad Less Traveled [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,K:\Peacemaker - Saison 01\Peacemaker - S01E04 - The Choad Less Traveled [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,,,,
Peacemaker - Saison 01 - 05 Monkey Dory,Peacemaker - Season 01 - 05 Monkey Dory,2022,,E,E,K:\Peacemaker - Saison 01\Peacemaker - S01E05 - Monkey Dory [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,K:\Peacemaker - Saison 01\Peacemaker - S01E05 - Monkey Dory [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,,,,
Peacemaker - Saison 01 - 06 Murn After Reading,Peacemaker - Season 01 - 06 Murn After Reading,2022,,E,E,K:\Peacemaker - Saison 01\Peacemaker - S01E06 - Murn After Reading [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,K:\Peacemaker - Saison 01\Peacemaker - S01E06 - Murn After Reading [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,,,,
Peacemaker - Saison 01 - 07 Stop Dragon My Heart Around,Peacemaker - Season 01 - 07 Stop Dragon My Heart Around,2022,,E,E,K:\Peacemaker - Saison 01\Peacemaker - S01E07 - Stop Dragon My Heart Around [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,K:\Peacemaker - Saison 01\Peacemaker - S01E07 - Stop Dragon My Heart Around [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,,,,
Peacemaker - Saison 01 - 08 It's Cow or Never,Peacemaker - Season 01 - 08 It's Cow or Never,2022,,E,E,K:\Peacemaker - Saison 01\Peacemaker - S01E08 - Its Cow or Never [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,K:\Peacemaker - Saison 01\Peacemaker - S01E08 - Its Cow or Never [MULTI][WEB-Rip][1080p][H265_10b][HE-AAC_5.1] - K-LITY.mkv,,,,
Planète Préhistorique,Prehistoric Planet,2022,Picture 5518,E,E,,,,,,2022
Planète Préhistorique - 01 Les côtes,Prehistoric Planet - 01 Coasts,2022,,E,E,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E01.1080p.MULTI.x265-10bits.mkv,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E01.1080p.MULTI.x265-10bits.mkv,,,,
Planète Préhistorique - 02 Les déserts,Prehistoric Planet - 02 Deserts,2022,,E,E,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E02.1080p.MULTI.x265-10bits.mkv,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E02.1080p.MULTI.x265-10bits.mkv,,,,
Planète Préhistorique - 03 L'eau douce,Prehistoric Planet - 03 Freshwater,2022,,E,E,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E03.1080p.MULTI.x265-10bits.mkv,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E03.1080p.MULTI.x265-10bits.mkv,,,,
Planète Préhistorique - 04 Les mondes gelés,Prehistoric Planet - 04 Ice Worlds,2022,,E,E,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E04.1080p.MULTI.x265-10bits.mkv,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E04.1080p.MULTI.x265-10bits.mkv,,,,
Planète Préhistorique - 05 Les forêts,Prehistoric Planet - 05 Forests,2022,,E,E,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E05.1080p.MULTI.x265-10bits.mkv,E:\Planète Préhistorique\Prehistoric.Planet.2022.S01E05.1080p.MULTI.x265-10bits.mkv,,,,
Quand la Terre se Réchauffe,Quand la Terre se Réchauffe,2022,Picture 5729,E,,,,,,,2022
Quand la Terre se Réchauffe - 01 La faune et la flore,Quand la Terre se Réchauffe - 01 La faune et la flore,2022,,E,,E:\Quand la Terre se Réchauffe\Quand la Terre se réchauffe - La faune et la flore - ARTE.2022.WEB.DL.720P.mkv,,,,,
Quand la Terre se Réchauffe - 02 Mers et océans,Quand la Terre se Réchauffe - 02 Mers et océans,2022,,E,,E:\Quand la Terre se Réchauffe\Quand la Terre se réchauffe - Mers et océans - ARTE.2022.WEB.DL.720P.mkv,,,,,
SAS - Rogue Heroes,SAS - Rogue Heroes,2022,Picture 5839,E,E,,,,,,2022
SAS - Rogue Heroes - Épisode 01,SAS - Rogue Heroes - Episode 01,2022,,E,E,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E01.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E01.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,,,,
SAS - Rogue Heroes - Épisode 02,SAS - Rogue Heroes - Episode 02,2022,,E,E,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E02.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E02.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,,,,
SAS - Rogue Heroes - Épisode 03,SAS - Rogue Heroes - Episode 03,2022,,E,E,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E03.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E03.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,,,,
SAS - Rogue Heroes - Épisode 04,SAS - Rogue Heroes - Episode 04,2022,,E,E,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E04.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E04.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,,,,
SAS - Rogue Heroes - Épisode 05,SAS - Rogue Heroes - Episode 05,2022,,E,E,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E05.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E05.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,,,,
SAS - Rogue Heroes - Épisode 06,SAS - Rogue Heroes - Episode 06,2022,,E,E,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E06.FiNAL.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,E:\SAS - Rogue Heroes\Sas.Rogue.Heroes.S01E06.FiNAL.MULTi.1080p.BluRay.DDP5.1.x264-FCK.mkv,,,,
Dissociation,Severance,2022,Picture 5449,E,E,,,,,,
Dissociation - Saison 01,Severance - Season 01,2022,,E,E,,,,,2022,
Dissociation - Saison 01 - 01 Le bon côté de l'enfer,Severance - Season 01 - 01 Good News About Hell,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E01.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E01.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Dissociation - Saison 01 - 02 Demi-bouche,Severance - Season 01 - 02 Half Loop,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E02.REPACK.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E02.REPACK.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Dissociation - Saison 01 - 03 À perpétuité,Severance - Season 01 - 03 In Perpetuity,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E03.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E03.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Dissociation - Saison 01 - 04 Le vous en vous,Severance - Season 01 - 04 The You You Are,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E04.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E04.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Dissociation - Saison 01 - 05 La cruauté barbare d'Optique et Design,Severance - Season 01 - 05 The Grim Barbarity of Optics and Design,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E05.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E05.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Dissociation - Saison 01 - 06 Cache-cache,Severance - Season 01 - 06 Hide and Seek,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E06.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E06.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Dissociation - Saison 01 - 07 Jazz insolent ,Severance - Season 01 - 07 Defiant Jazz,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E07.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E07.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Dissociation - Saison 01 - 08 On mange quoi ? ,Severance - Season 01 - 08 What’s for Dinner?,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E08.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E08.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Dissociation - Saison 01 - 09 Le nous en nous ,Severance - Season 01 - 09 The We We Are?,2022,,E,E,K:\Dissociation - Saison 01\Severance.2022.S01E09.FiNAL.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,K:\Dissociation - Saison 01\Severance.2022.S01E09.FiNAL.MULTi.1080p.ATVP.WEB-DL.DDP5.1.Atmos.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds,Star Trek Strange New Worlds,2022,Picture 5588,E,E,,,,,,
Star Trek Strange New Worlds - Saison 01,Star Trek Strange New Worlds - Season 01,2022,,E,E,,,,,2022,
Star Trek Strange New Worlds - Saison 01 - 01 Strange New Worlds,Star Trek Strange New Worlds - Season 01 - 01 Strange New Worlds,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E01.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E01.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E01.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E01.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 02 Les Enfants de la comète,Star Trek Strange New Worlds - Season 01 - 02 Children of the Comet,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E02.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E02.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E02.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E02.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 03 Les Fantômes d'Illyria,Star Trek Strange New Worlds - Season 01 - 03 Ghosts of Illyria,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E03.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E03.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E03.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E03.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 04 Memento Mori ,Star Trek Strange New Worlds - Season 01 - 04 Memento Mori ,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E04.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E04.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E04.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E04.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 05 Le Mal de Spock,Star Trek Strange New Worlds - Season 01 - 05 Spock Amok,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E05.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E05.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E05.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E05.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 06 Élève-nous là où la souffrance ne peut nous atteindre,Star Trek Strange New Worlds - Season 01 - 06 Lift Us Where Suffering Cannot Reach,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E06.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E06.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E06.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E06.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 07 Le Serene Squall,Star Trek Strange New Worlds - Season 01 - 07 The Serene Squall,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E07.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E07.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E07.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E07.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 08 Le Royaume d'Elysian,Star Trek Strange New Worlds - Season 01 - 08 The Elysian Kingdom,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E08.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E08.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E08.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E08.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 09 Tous ceux qui errent,Star Trek Strange New Worlds - Season 01 - 09 All Those Who Wander,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E09.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E09.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E09.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E09.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Trek Strange New Worlds - Saison 01 - 10 Le Caractère de la clémence ,Star Trek Strange New Worlds - Season 01 - 10 A Quality of Mercy,2022,,E,E,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E10.FiNAL.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E10.FiNAL.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,K:\Star Trek Strange New Worlds - Saison 01\Star.Trek.Strange.New.Worlds.S01E10.FiNAL.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY\Star.Trek.Strange.New.Worlds.S01E10.FiNAL.MULTi.1080p.AMZN.WEB-DL.DD2.0.H264-FRATERNiTY.mkv,,,,
Star Wars - Obi-Wan Kenobi,Star Wars - Obi-Wan Kenobi,2022,Picture 5555,E,E,,,,,,2022
Star Wars - Obi-Wan Kenobi - Partie 1,Star Wars - Obi-Wan Kenobi - Part 1,2022,,E,E,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E01.MULTi.1080p.WEB.H264-FW.mkv,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E01.MULTi.1080p.WEB.H264-FW.mkv,,,,
Star Wars - Obi-Wan Kenobi - Partie 2,Star Wars - Obi-Wan Kenobi - Part 2,2022,,E,E,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E02.MULTi.1080p.WEB.H264-FW.mkv,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E02.MULTi.1080p.WEB.H264-FW.mkv,,,,
Star Wars - Obi-Wan Kenobi - Partie 3,Star Wars - Obi-Wan Kenobi - Part 3,2022,,E,E,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E03.MULTi.1080p.WEB.H264-FW.mkv,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E03.MULTi.1080p.WEB.H264-FW.mkv,,,,
Star Wars - Obi-Wan Kenobi - Partie 4,Star Wars - Obi-Wan Kenobi - Part 4,2022,,E,E,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E04.MULTi.1080p.WEB.H264-FW.mkv,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E04.MULTi.1080p.WEB.H264-FW.mkv,,,,
Star Wars - Obi-Wan Kenobi - Partie 5,Star Wars - Obi-Wan Kenobi - Part 5,2022,,E,E,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E05.MULTi.1080p.WEB.H264-FW.mkv,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E05.MULTi.1080p.WEB.H264-FW.mkv,,,,
Star Wars - Obi-Wan Kenobi - Partie 6,Star Wars - Obi-Wan Kenobi - Part 6,2022,,E,E,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E06.FiNAL.MULTi.1080p.WEB.H264-FW.mkv,K:\Star Wars - Obi-Wan Kenobi\Obi.Wan.Kenobi.S01E06.FiNAL.MULTi.1080p.WEB.H264-FW.mkv,,,,
Le Dossier Ipcress,The Ipcress File,2022,Picture 5554,E,E,,,,,,2022
Le Dossier Ipcress - Épisode 01,The Ipcress File - Episode 01,2022,,E,E,K:\Le Dossier Ipcress\The.Ipcress.File.S01E01.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,K:\Le Dossier Ipcress\The.Ipcress.File.S01E01.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,,,,
Le Dossier Ipcress - Épisode 02,The Ipcress File - Episode 02,2022,,E,E,K:\Le Dossier Ipcress\The.Ipcress.File.S01E02.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,K:\Le Dossier Ipcress\The.Ipcress.File.S01E02.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,,,,
Le Dossier Ipcress - Épisode 03,The Ipcress File - Episode 03,2022,,E,E,K:\Le Dossier Ipcress\The.Ipcress.File.S01E03.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,K:\Le Dossier Ipcress\The.Ipcress.File.S01E03.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,,,,
Le Dossier Ipcress - Épisode 04,The Ipcress File - Episode 04,2022,,E,E,K:\Le Dossier Ipcress\The.Ipcress.File.S01E04.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,K:\Le Dossier Ipcress\The.Ipcress.File.S01E04.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,,,,
Le Dossier Ipcress - Épisode 05,The Ipcress File - Episode 05,2022,,E,E,K:\Le Dossier Ipcress\The.Ipcress.File.S01E05.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,K:\Le Dossier Ipcress\The.Ipcress.File.S01E05.MULTi.1080p.AMZN.WEB-DL.DDP5.1.H264-FRATERNiTY.mkv,,,,
