Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Résumé
L'Homme Bicentenaire,Bicentennial Man,1999,Picture 860,M,M,"En ce début de XXIe siècle où le progrès technologique s'est généralisé pour le meilleur, Richard Martin fait l'acquisition du tout nouveau robot domestique à la mode, le NDR-114. Celui-ci a été conçu pour effectuer les tâches ménagères pénibles jadis dévolues aux êtres humains : cuisine, ménage, bricolage, surveillance des enfants. Il est baptisé Andrew.
À ceci près que l'« Andrew » en question ne sera pas aussi simple que le modèle classique. Doté d'un esprit d'analyse modifié par accident, le robot va se donner des buts, des objectifs à atteindre et va au fil de ses apprentissages et de ses émotions, apprendre la vie.
Andrew ira même jusqu'à défier la mort de l'Homme en l'aidant à survivre à ses propres peurs. Mais il découvrira très vite que la vie et l'amour ont un prix, dont lui seul pourra déterminer le montant."
Bichunmoo,Bichunmoo,2000,Picture 2277,A,,"Jinha, élevé par son oncle dans la pure tradition de Bichun, un art martial unique et très puissant, aime depuis l'enfance Sullie,
fille d'un général Mongol contrôlant tout le pays. Mais la violence et la guerre les séparent lorsque Sullie est envoyée hors de la
province afin d'épouser de force un riche aristocrate. Fou de douleur, Jinha part reconquérir son amour perdu, poursuivi par les
meurtriers de ses parents, avide des secrets de Bichun dont il est désormais le seul détenteur..."
Bienvenue à Marly-Gomont,Bienvenue à Marly-Gomont,2016,Picture 2104,Z,Z,"En 1975, Seyolo Zantoko, médecin fraichement diplômé originaire de Kinshasa, saisit l’opportunité d’un poste de médecin de campagne dans un petit village français. 
Arrivés à Marly-Gomont, Seyolo et sa famille déchantent. Les habitants ont peur, ils n’ont jamais vu de noirs de leur vie. Mais Seyolo est bien décidé à réussir son pari et va tout mettre en œuvre pour gagner la confiance des villageois... "
Bienvenue chez les Ch'Tis,Bienvenue chez les Ch'Tis,2008,Picture 189,J,,"Philippe Abrams est directeur de la poste de Salon-de-Provence. Il est marié à Julie, dont le caractère dépressif lui rend la vie impossible. Pour lui faire plaisir, Philippe fraude afin d'obtenir une mutation sur la Côte d'Azur. Mais il est démasqué: il sera muté à Bergues, petite ville du Nord.
Pour les Abrams, sudistes pleins de préjugés, le Nord c'est l'horreur, une région glacée, peuplée d'êtres rustres, éructant un langage incompréhensible, le ""cheutimi"". Philippe ira seul. A sa grande surprise, il découvre un endroit charmant, une équipe chaleureuse, des gens accueillants, et se fait un ami : Antoine, le facteur et le carillonneur du village, à la mère possessive et aux amours contrariées. Quand Philippe revient à Salon, Julie refuse de croire qu'il se plait dans le Nord. Elle pense même qu'il lui ment pour la ménager. Pour la satisfaire et se simplifier la vie, Philippe lui fait croire qu'en effet, il vit un enfer à Bergues. Dès lors, sa vie s'enfonce dans un mensonge confortable... "
Petit Bonhomme,Big,1988,Picture 1422,Y,Y,"Josh Baskin fait le vœu de grandir. Le lendemain il se réveille avec le corps d'un adulte alors qu'à l'intérieur, il est encore un enfant. Travail, argent, amour, il se retrouve vite confronté au monde adulte. "
Une Sale Grosse Araignée,Big Ass Spider,2013,Picture 24745,U,U,"Une araignée d'origine extraterrestre dont la taille s'accroît très rapidement s'échappe d'un laboratoire militaire et sème la dévastation à Los Angeles. Une équipe militaire dirigée par le major Braxton Tanner et le lieutenant Karly Brant tente de l'arrêter, tout comme l'exterminateur d'insectes Alex Mathis qui fait équipe avec l'agent de sécurité d'hôpital José Ramos."
L'Ordre du Loup,Big Bad Wolf,2006,Picture 25917,X,X,"Un étudiant timide de première année se rend au chalet de son beau père pour y faire la fête avec ses amis et Sam, sa petite amie. Mais les festivités tournent au massacre quand ils sont attaqués par un loup garou. Derek et Sam arrivent à s’échapper des griffes de la bête. Ils ne vont pas tarder à découvrir un terrible secret quand aux origines du monstre."
Big Bad Wolves,Big Bad Wolves,2013,Picture 1077,Y,,"Une série de meurtres d’une rare violence bouleverse la vie de trois hommes : le père de la dernière victime qui rêve de vengeance ; un policier en quête de justice qui n’hésitera pas à outrepasser la loi ; et le principal suspect – un professeur de théologie arrêté et remis en liberté suite aux excès de la police. Forcément, ça ne peut pas donner une enquête classique…"
Drôle de Père,Big Daddy,1999,Picture 24129,S,S,"Pour impressionner sa petite amie Vanessa et a la suite d'un quiproquo, Sonny, celibataire endurci, fait croire qu'il est le pere naturel de Julian, un jeune garcon de cinq ans qu'il adopte. C'est la catastrophe et l'enfer des nuits detruites, des seances insupportables de calins sans parler de la chanson du Kangourou, qui font decouvrir a Sony un monde qu'il ignorait totalement. Cependant Sonny fait face a ses responsabilites et un attachement profond nait entre lui et l'enfant. Jusqu'au jour ou les services sociaux decouvrent qu'il n'est pas le pere du petit. "
Big Data - La Révolution des Mégadonnées,Big Data - La Révolution des Mégadonnées,2014,Picture 4686,D,,Reportage grand public présentant le Big data et son utilité pour l'industrie et l'avancement de la connaissance.
Big Data - Les Nouveaux Devins,Big Data - Les Nouveaux Devins,2014,Picture 4448,D,,"Les données personnelles, baptisées «Big Data», sont aujourd'hui devenues une véritable mine d'or. Enquête sur ce nouvel enjeu mondial que représente l'analyse de cette masse de données. Aux Etats-Unis, les «nouveaux devins» fournissent ces analyses prédictives en temps réel autour de la consommation, de la politique, du sport ou de la sécurité. Des milliards d'informations qui permettent de nous ficher, de prévoir nos comportements et d'anticiper nos désirs. Cette vaste collecte numérique intéresse les géants d'Internet qui détiennent 80 % des données personnelles mondiales. "
Les Grands Yeux,Big Eyes,2014,Picture 24144,S,S,"BIG EYES raconte la scandaleuse histoire vraie de l’une des plus grandes impostures de l’histoire de l’art. À la fin des années 50 et au début des années 60, le peintre Walter Keane a connu un succès phénoménal et révolutionné le commerce de l’art grâce à ses énigmatiques tableaux représentant des enfants malheureux aux yeux immenses. La surprenante et choquante vérité a cependant fini par éclater : ces toiles n’avaient pas été peintes par Walter mais par sa femme, Margaret. L’extraordinaire mensonge des Keane a réussi à duper le monde entier. Le film se concentre sur l’éveil artistique de Margaret, le succès phénoménal de ses tableaux et sa relation tumultueuse avec son mari, qui a connu la gloire en s’attribuant tout le mérite de son travail. "
"Big Fish, la Légende du Gros Poisson",Big Fish,2003,Picture 191,O,O,"L'histoire à la fois drôle et poignante d'Edward Bloom, un père débordant d'imagination, et de son fils William. Ce dernier retourne au domicile familial après l'avoir quitté longtemps auparavant, pour être au chevet de son père, atteint d'un cancer. Il souhaite mieux le connaître et découvrir ses secrets avant qu'il ne soit trop tard. L'aventure débutera lorsque William tentera de discerner le vrai du faux dans les propos de son père mourant. "
Le Grand Coup,Big Game,2014,Picture 25219,V,,Un adolescent et le Président des Etats-Unis se retrouvent aux prises avec une bande de terroristes qui ont pris d'assaut l'Air Force One... 
Les Nouveaux Héros,Big Hero 6,2014,Picture 24780,U,U,"Un petit génie de la robotique nommé Hiro Hamada découvre qu’un complot criminel menace de détruire la ville de San Fransokyo. Avec l’aide de son plus proche ami, Baymax le robot infirmier, et de ses compagnons qu’il va transformer en une bande de superhéros high-tech, Hiro va tout faire pour sauver la ville et sa population de l’infâme Yokai… "
Le Grand Jacob,Big Jake,1971,Picture 24720,U,U,"En 1909, au Texas, le gang de John Fain s'introduit sur le domaine des McCandles et kidnappe contre rançon Jake, le petit-fils de Martha. Celle-ci, pressentant un échec des forces de police lancées à la poursuite du gang, appelle à l'aide son mari, Jacob, dont elle est séparée depuis des années…"
"Petits Secrets, Grands Mensonges",Big Little Lies,2017,Picture 1452,Z,Z,"Quand Madeline, Jane et Celeste se lient d'amitié par l'intermédiaire de leurs enfants, elles ne se doutent pas qu'elles vont se retrouver, des mois plus tard, au centre d'un tragique accident, survenu à la fête de l'école. Qui est mort ? Qui est responsable ? Et pour quelle raison ? Secrets, rumeurs et mensonges ne faisant pas bon ménage, tout l'univers de la petite ville de Monterey va être secoué de violents soubresauts. "
Le Grand Miracle,Big Miracle,2012,Picture 1398,Y,Y,"Octobre 1988. Pour sauver trois baleines grises de Californie, piégées dans les glaces du Cercle arctique, un journaliste recrute son ancienne petite amie, une volontaire de Greenpeace. "
Big Nothing,Big Nothing,2006,Picture 4757,D,D,"A l'insu de sa femme policière, un professeur frustré et au chômage décide de prendre sa revanche sur la vie en s'associant avec un arnaqueur imprévisible et son ambitieuse ex-petite-amie dans un plan de chantage ""à toute épreuve"". Mais lorsque tout ne se passe pas comme prévu, ils découvrent vite que rien dans la vie n'est à toute épreuve.... et que tout à un prix... "
Big Pharma - Labos Tout-Puissants,Big Pharma - Labos Tout-Puissants,2020,Picture 4446,D,,"Novartis, Roche, Pfizer, Johnson & Johnson, Sanofi, on les appelle les Big Pharma. Ces grands groupes pharmaceutiques produisent à eux seuls la majeure partie des médicaments mondiaux et génèrent des profits considérables."
Le Grand Stan,Big Stan,2007,Picture 24023,R,R,Un arnaqueur prend panique lorsqu'il apprend qu'il devra faire de la prison pour fraude. Il engage un mystérieux gourou des arts martiaux qui l'aidera à devenir un expert en arts martiaux afin qu'il puisse se défendre contre les autres détenus. 
Les Aventures de Jack Burton dans les Griffes du Mandarin,Big Trouble in Little China,1986,Picture 861,N,N,"Jack Burton accompagne son ami Wang Chi à l'aéroport de San Francisco afin d'accueillir Miao Yin, la fiancée de ce dernier. Mais Miao Yin est convoitée par Lo Pan, un puissant sorcier désincarné qui pense pouvoir récupérer son enveloppe charnelle en épousant une chinoise aux yeux verts. Jack, simple camionneur, se retrouve au cœur de Chinatown, au beau milieu d'une lutte surnaturelle entre les puissances du Bien et du Mal orientales."
Biggles,Biggles - Adventures in Time,1986,Picture 3921,C,C,"Jim Ferguson vit à New York dans les années 80 et dirige un fast-food. Un jour, il fait la rencontre d'un étrange vieillard, qu'il renvoie de son restaurant. Jim se retrouve alors propulsé durant la Première Guerre Mondiale, dans une tranchée où il rencontre Biggles, un pilote anglais. Mais instantanément, Jim se voit ramené à son époque... "
Bill and Ted Face the Music,Bill and Ted Face the Music,2020,Picture 4002,C,C,"Bill S. Preston et Ted “Theodore” Logan sont désormais quarantenaires et pères de famille. Cependant, ils n'ont pas concrétisé leur rêve d'être des stars du rock. Un messager du futur vient les avertir qu'une chanson peut modifier leur destinée à jamais"
La Prétendue Aventure de Bill et Ted,Bill and Ted's Bogus Journey,1991,Picture 862,O,O,"Dans un futur éloigné, la musique de Bill Preston et Ted Logan est devenue le socle de la paix et sont tous deux mythifiés. Le tyran De Nomolos, avide de pouvoir, rêve de détruire cette société et il créé, pour cela, des androïdes ressemblant trait pour trait à Bill et Ted et les envoie en 1991 pour éliminer les deux garçons avant leur apogée. "
L'Excellente Aventure de Bill et Ted,Bill and Ted's Excellent Adventure,1989,Picture 21535,O,O,Bill et Ted sont deux cancres à l'école secondaire mais ils ont mis au point une machine à voyager dans le temps sous la forme d'une cabine téléphonique. Ils naviguent ainsi dans le futur ou le passé et y rencontrent de multiples embûches…
Le Club des Milliardairres,Billionaire Boys Club,2018,Picture 2850,B,B,"Au milieu des années 1980, le jeune et ambitieux Joe Hunt, un entrepreneur dont la société Billionaire Boys Club est composée d’héritiers fortunés de Beverly Hills, met en place une arnaque basée sur une chaine de Ponzi. Mais quand arrive l’heure des comptes, la panique s’empare des associés accusés d'homicide. "
Billy Elliot,Billy Elliot,2000,Picture 23876,R,R,"Dans un petit village minier du Nord-Est de l'Angleterre, Billy, onze ans, découvre avec stupeur qu'un cours de danse partage désormais les mêmes locaux que son club de boxe. D'abord effaré, il devient peu à peu fasciné par la magie de la gestuelle du ballet, activité pourtant trop peu virile au regard de son père et de son frère Tony, mineurs en grève.
Billy abandonne les gants de cuir pour assister discrètement aux leçons de danse professées par Mme Wilkinson. Repérant immédiatement un talent potentiel, elle retrouve une nouvelle énergie devant les espoirs que constitue Billy.
Les frustrations larvées explosent au grand jour quand son père et son frère découvrent que Billy a dépensé l'argent consacré au cours de boxe pour des cours de danse.
Partagé entre une famille en situation de crise et un professeur de ballet têtu, le jeune garçon embarque alors dans un voyage à la découverte de lui-même. "
Fin de Mi-Temps Pour le Soldat Billy Lynn,Billy Lynn's Long Halftime Walk,2016,Picture 1354,Y,Y,"En 2005, Billy Lynn, un jeune Texan de 19 ans, fait partie d'un régiment d'infanterie en Irak victime d'une violente attaque. Ayant survécu à l'altercation, il est érigé en héros, ainsi que plusieurs de ses camarades. Et c'est avec ce statut qu'ils sont rapatriés aux Etats-Unis par l'administration Bush, qui désire les voir parader au pays... avant de retourner au front. "
Billy Madison,Billy Madison,1995,Picture 24310,S,S,"Afin d'hériter l'empire hôtelier de son père, un homme immature et fainéant doit retourner à l'école. Billy fera de sa maternelle jusqu'à son secondaire 5. Il sera arrêté par Eric Gordon, le vice-président des industries Madison, qui ne cherche qu'à prendre le contrôle des chaînes hôtelières. Avec l'aide de sa professeur de quatrième année dont il est amoureux et de ses amis qu'il a rencontrés à travers ses différentes étapes scolaires, il battra Eric à un combat de connaissances et décrochera son diplôme."
Bird,Bird,1988,Picture 24558,W,W,"Bird est une interprétation cinématographique de la vie de Charlie ""Yardbird"" Parker, jazzman visionnaire et musicien accompli qui éleva le saxophone à un niveau d'expression inédit. Le film dépeint alternativement la jeunesse et la maturité de cet homme et de ce créateur de génie, sa carrière et ses drames personnels.
Charlie Parker fut une énigme. La puissance et la beauté de son style firent de lui un précurseur, mais sa vie privée fut un enfer. Ce film tente d'éclairer le penchant de Parker pour la drogue, l'alcool et les femmes, de comprendre la nature de sa passion pour Chan Richardson, la complexité de sa vision et, surtout, sa musique. "
Bird Box,Bird Box,2018,Picture 2787,B,B,"Alors qu'une mystérieuse force décime la population mondiale, une seule chose est sûre : ceux qui ont gardé les yeux ouverts ont perdu la vie. Malgré la situation, Malorie trouve l'amour, l'espoir et un nouveau départ avant de tout voir s'envoler. Désormais, elle doit prendre la fuite avec ses deux enfants, suivre une rivière périlleuse jusqu'au seul endroit où ils peuvent encore se réfugier. Mais pour survivre, ils devront entreprendre ce voyage difficile les yeux bandés. "
Comme un Oiseau sur la Branche,Bird on a Wire,1990,Picture 325,N,N,"Rick a été autrefois un témoin clé dans une affaire de trafic de drogues et il a été de ce fait placé sous la protection du FBI. Un jour, les hommes qu'il a envoyé en prison retrouvent la liberté, déterminés à se venger. Ceux-ci retrouvent la trace de Rick car son nouveau garde du corps est en réalité un de leurs alliés ! Il parvient à s'enfuir et part se cacher chez son ancienne petite-amie. Ensemble, ils tentent de comprendre pourquoi il n'est plus protégé. "
Birdman,Birdman,2014,Picture 24096,S,S,"À l’époque où il incarnait un célèbre super-héros, Riggan Thomson était mondialement connu. Mais de cette célébrité il ne reste plus grand-chose, et il tente aujourd’hui de monter une pièce de théâtre à Broadway dans l’espoir de renouer avec sa gloire perdue. Durant les quelques jours qui précèdent la première, il va devoir tout affronter : sa famille et ses proches, son passé, ses rêves et son ego…
S’il s’en sort, le rideau a une chance de s’ouvrir... "
Birds of Prey et la Fantabuleuse Histoire de Harley Quinn,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,2020,Picture 3755,C,C,"Vous connaissez l'histoire du flic, de l'oiseau chanteur, de la cinglée et de la princesse mafieuse ?
BIRDS OF PREY (ET LA FANTABULEUSE HISTOIRE D'HARLEY QUINN) est une histoire déjantée racontée par Harley en personne – d'une manière dont elle seule a le secret. Lorsque Roman Sionis, l'ennemi le plus abominable – et le plus narcissique – de Gotham, et son fidèle acolyte Zsasz décident de s'en prendre à une certaine Cass, la ville est passée au peigne fin pour retrouver la trace de la jeune fille. Les parcours de Harley, de la Chasseuse, de Black Canary et de Renee Montoya se télescopent et ce quatuor improbable n'a d'autre choix que de faire équipe pour éliminer Roman…"
Birdy,Birdy,1984,Picture 23848,R,R,"Deux amis d'enfance reviennent de la guerre du Viêt Nam marqués à jamais : Birdy entame un long séjour à l'hôpital et ne sort plus de son mutisme. Prostré, isolé, il passe des heures à fixer le ciel et à rêver de pouvoir voler comme un oiseau. De son côté, son ami Al, qui a perdu son visage dans cette guerre, décide alors d'entrer dans son jeu pour l'aider à s'évader..."
La Naissance du Dragon,Birth of the Dragon,2016,Picture 1972,A,A,"San Francisco 1964. Encore inconnu, Bruce Lee enseigne les arts martiaux aux étrangers provoquant la colère des traditionnalistes du Kung Fu qui envoient pour le défier Wong Jack Man, un maitre Shaolin. Devenu légendaire, leur affrontement a changé l’histoire du Kung Fu, inspirant à Bruce Lee une profonde réflexion sur sa méthode et sa philosophie du combat."
Birthday Sex,Birthday Sex,2012,Picture 4309,D,,"Après sa séparation d'avec Tyler, et afin de s'aider elle-même à tourner la page, Mia a pris la décision de célébrer son anniversaire en invitant Simon à la fête, ainsi que les meilleurs amis de Kristen et Sara. Mais, tout à fait curieusement, la soirée qui avait commencé sous les meilleurs auspices dérive quelque peu sur le plan des moeurs, au grand étonnement de la jeune femme qui, tourneboulée par l'ambiance débridée, va alors réaliser ses fantasmes les plus fous"
La Chevauchée Sauvage,Bite the Bullet,1975,Picture 1451,Y,Y,"En 1908, un journal américain organise une course de chevaux à travers le Grand Ouest. Huit hommes et une femme participent à l'aventure, espérant décrocher la prime promise au vainqueur. Mais la course s'avère semée d'obstacles et l'endurance des concurrents est mise à rude épreuve... "
Lunes de Fiel,Bitter Moon,1992,Picture 4026,C,C,"Fiona et Nigel Dobson font un voyage qui les mène de Turquie en Inde. Lorsque le couple britannique fait la connaissance d'une jeune française et d'Oscar, son mari américain, le périple prend une tournure inattendue. Oscar entreprend le récit de son obsession pour une femme rencontrée un jour par hasard..."
Black,Black,2015,Picture 25884,X,X,"Deux gangs des banlieues bruxelloises, les Black Bronx et les 1080, se mènent une lutte sans merci. Mavela, s’éprend de Marwan, membre du gang rival. Les deux amants s’enlisent alors dans une intense passion interdite et dangereuse… "
Black 47,Black 47,2018,Picture 3029,B,B,"Irlande, hiver 1847. Après avoir combattu dans le monde entier pour l’armée anglaise, le ranger Feeney retrouve enfin son pays natal. Il découvre une terre de désolation, ravagée par la famine et la maladie. Ceux qui ont réussi à survivre sont chassés de leurs foyers par les percepteurs anglais, et condamnés à errer sur les routes. Lorsqu’il découvre que, pris à la gorge, les derniers membres de sa famille ont été exécutés pour vol de nourriture, il décide de se faire justice. "
Black and Blue,Black and Blue,2019,Picture 3637,C,C,"Pendant son service, une jeune gardienne de la paix assiste, par inadvertance, à l'assassinat d'un dealer par un groupe de flics des stupéfiants corrompus. Ces derniers se lancent alors à la poursuite de la policière afin de récupérer les images filmées par sa caméra embarquée et pour l'éliminer. "
Senso 45,Black Angel,2002,Picture 24945,U,,"En 1945, dans la voiture qui la conduit à Venise, la belle Livia, épouse de ministre, est assaillie par les souvenirs de ses nombreuses péripéties érotiques. Elle va rejoindre Helmut Schultz, son amant, lieutenant dans la Wehrmacht."
Black Beach,Black Beach,2020,Picture 4654,D,D,"Carlos Fuster, cadre dirigeant espagnol, vit à Bruxelles et travaille pour une importante société pétrolière américaine. Il mène une vie luxueuse, animé par l'espoir de devenir associé de son entreprise et déménager à New York avec sa femme Susan. Mais ses plans tournent mal lorsqu'il est choisi par sa direction pour négocier la libération d'un ingénieur américain, kidnappé dans un pays insulaire africain isolé... "
L'Étalon Noir,Black Beauty,1994,Picture 3235,B,B,"Magnifique étalon, Prince Noir vit dans une superbe propriété de la campagne anglaise. Jusqu'au jour où ses maîtres doivent déménager et se séparer de lui. Le cheval se retrouve alors embarqué dans une aventure rocambolesque qui le mènera des vertes prairies de son enfance jusqu'aux rues sales de Londres... "
Le Carnet Noir,Black Book,2006,Picture 23297,P,X,"La Haye, sous l'occupation allemande.
Lorsque sa cachette est détruite par une bombe, la belle chanteuse Rachel Stein tente, avec un groupe de Juifs, de gagner la Hollande Méridionale, déjà libérée. Mais une patrouille allemande les intercepte dans le delta du Biesboch. Tous les réfugiés sont abattus ; seule Rachel échappe au massacre.
Elle rejoint alors la Résistance et, sous le nom d'Ellis de Vries, parvient à infiltrer le Service de Renseignements allemand et à se lier avec l'officier Mûntze. Séduit, celui-ci lui offre un emploi... "
Black Box,Black Box,2020,Picture 4081,C,C,"Mamoudou Athie joue un père veuf atteint de trous de mémoire suite à un accident. Pour en guérir, il s’engage à suivre un traitement unique : grâce à un dispositif de réalité virtuelle, il est transporté dans son subconscient. Cette sorte d’hypnose 2.0 va l’obliger à combattre ses démons mais aussi à découvrir de lourds secrets. "
Séquestré,Black Butterfly,2017,Picture 2157,A,A,Un homme invite chez lui un vagabond qu'il soupçonne d'être un tueur en série... 
Noël Tragique,Black Christmas,1974,Picture 23222,P,P,"Des jeunes femmes faisant parties d'une confrérie universitaire passent les vacances de Noël ensemble. Le groupe reçoit d'étranges appels téléphoniques, les jeunes femmes, qui semblent au départ s'en amuser, ne se doutent pas une seconde que les appels sont passés de l'intérieur de la maison..."
Noël Noir,Black Christmas,2006,Picture 21536,J,J,"Dans les années 1970, Billy Lenz assassine sa mère et son beau-père qui l'avait reclus au grenier pendant toute sa jeunesse. L'homme est incarcéré dans un hôpital psychiatrique mais prépare son évasion quelques années plus tard. Son ancienne maison servant de repaire à des étudiantes, ces dernières commencent à recevoir des coups de fil leur annonçant une série de meurtres à Noël. "
Noël Tragique,Black Christmas,2019,Picture 3762,C,C,"Sur un campus universitaire, lors des vacances de Noël, des filles de la confrérie sont les proies d'un tueur en série."
"Black Coal, Thin Ice","Black Coal, Thin Ice",2014,Picture 25407,W,,"En 1999, les morceaux du corps d'un mineur sont retrouvés dans plusieurs raffineries à charbon. L’inspecteur Zhang Zili cherche à savoir pourquoi le corps a été dispersé aux quatre coins de la Mandchourie. Lors de l'interpellation de suspects, il est blessé et doit abandonner son poste de policier.
Cinq ans plus tard, deux nouveaux meurtres sont commis dans la région. La police locale soupçonne Wu Zhizhen, l’épouse de la première victime d’être liée aux meurtres. Zhang, devenu agent de sécurité travaillant pour une entreprise privée, décide de reprendre à son compte l’enquête."
La Mort Noire,Black Death,2010,Picture 21537,D,D,"XIVe siècle, en Angleterre. Une épidémie de peste bubonique ravage le pays, décimant la population. Osmund, un jeune moine, reçoit la mission d’accompagner un groupe de chevaliers mené par le redoutable Ulric, afin d'enquêter sur d’étranges phénomènes se produisant dans un petit village reculé. Il semblerait en effet qu’en ce lieu les morts reviennent à la vie. Comprenant que cela est le fait d'un nécromancien ayant un lien particulier avec le village, les chevaliers et le moine se lancent à sa recherche et finissent bientôt par le trouver en la personne de Langiva, une mystérieuse jeune et belle femme. Mais le voyage va vite basculer dans l'horreur quand Osmund doit faire un choix cornélien entre sa foi et Averill, la femme qu'il aime, après avoir passé un pacte avec Langiva."
Traquer,Black Dog,1998,Picture 25808,X,X,"Le chien noir est une apparition obsessionnelle bien connue des chauffeurs routiers acculés à la limite de leurs forces mentales et physiques, souvent à l'origine de terribles accidents. C'est ce qui est arrivé à Jack Crews, qui a purgé une longue peine de prison pour avoir provoqué un dramatique accident après s'être assoupi au volant. Libéré mais criblé de dettes, il accepte une proposition douteuse d'un certain Cutler : conduire un camion chargé d'une cargaison mystérieuse. "
L'Arme Absolue,Black Eagle,1988,Picture 26021,X,X,"Les restes d'un bombardier abattu lors d'une mission punitive au Moyen-Orient contre une base terroriste dorment paisiblement quelque part dans la mer Mediterranee. A son bord l'objet de toutes les convoitises, un systeme hautement perfectionne pour que les missiles ne ratent jamais leur but. La C.I.A. et le K.G.B. envoient chacun leur meilleur agent pour s'emparer du precieux objet... "
Or Noir,Black Gold,2011,Picture 24552,T,T,"Deux émirs, se sont disputé pour des raisons historiques un territoire nommé le Corridor Jaune, lieu désertique et a priori sans réel intérêt. L'émir Amar, soutenu par les tribus du Nord perd cette guerre face à Nessib. Ce dernier propose de donner un statut de no man's land au Corridor Jaune, et de prendre en otage les deux fils d'Amar, Auda et Saleeh. Dix-neuf ans plus tard, des Américains, employés par la Texan Oil, découvrent du pétrole dans le Corridor Jaune. Parce qu'il a perdu sa femme faute de soins médicaux dans son pays pauvre, Nessib va vouloir capter à son profit la manne financière que lui est proposée, sans prévenir Amar. Cette rupture de pacte, une fois découverte, va déclencher une guerre."
La Chute du Faucon Noir,Black Hawk Down,2001,Picture 21538,N,N,"Le 3 octobre 1993, avec l'appui des Nations Unies, une centaine de marines américains de la Task Force Ranger est envoyée en mission à Mogadiscio, en Somalie, pour assurer le maintien de la paix et capturer les deux principaux lieutenants et quelques autres associés de Mohamed Farrah Aidid, un chef de guerre local. Cette opération de routine vire rapidement au cauchemar lorsque les militaires sont pris pour cibles par les factions armées rebelles et la population, résolument hostiles à toute présence étrangère sur leur territoire. "
Black Is King,Black Is King,2020,Picture 3950,,C,"Inspiré de la musique de « The Lion King : The Gift », le nouvel album visuel écrit, produit et mis en scène par BEYONCE.
Cet album visuel réinterprète les leçons prodiguées par un père à son jeune fils en les destinant à tous les jeunes rois et reines qui sont aujourd’hui à la recherche de leur propre couronne. "
Chevalier Noir,Black Knight,2001,Picture 23814,Q,Q,"Jamal Walker est un modeste employé de Medieval World, un parc à thème vétuste, mal entretenu, que sa clientèle a depuis longtemps déserté. Un jour qu'il en nettoie les douves fétides, il fait une chute et se trouve projeté dans le passé, au cœur de l'Angleterre du XIVe siècle.
Étranger dans cette terre des plus hostiles, Jamal se lie d'amitié avec un chevalier déchu, découvre l'amour avec Victoria, une belle jeune femme aux idées très modernes, et soutient les paysans dans leur lutte contre un cruel souverain. "
Black Lightning,Black Lightning,2018,Picture 3339,B,B,"Jefferson Pierce, un super-héros qui a raccroché son costume depuis plusieurs années, se voit dans l'obligation de ré-endosser son identité secrète lorsque sa fille et un de ses élèves se retrouvent en danger. Il redevient Black Lightning, un méta-humain qui contrôle les champs électro-magnétiques... "
Masque Noir,Black Mask,1996,Picture 3217,B,B,"Michael est l'un des cobayes d'un projet visant à créer des super-soldats. Lorsque ledit projet est annulé, il tente de retrouver une vie normale en devenant libraire. Mais certains des cobayes sont devenus de dangereux meurtriers et, devant l'impuissance des forces de l'ordre, Michael s'engage à les combattre. Pour cacher sa véritable identité, il utilise alors un masque et devient le super-héros Black Mask. "
Masque Noir 2,Black Mask 2 - City of Masks,2002,Picture 4908,D,D,Black Mask doit contrecarrer les plans d'une organisation criminelle qui projette de faire exploser une bombe bactériologique qui pourrait provoquer des mutations génétiques chez les humains. 
Messe Noire,Black Mass,2015,Picture 25435,W,W,"Dans les années 1970 à Boston, James J. Bulger, alias « Whitey » Bulger, devient l'un des membres fondateurs du gang irlandais de Winter Hill. Son ascension dans le monde de la pègre est facilitée par John Connelly, un ami d'enfance devenu agent du FBI."
Black Mirror,Black Mirror,2011,Picture 24612,T,T,"Chaque épisode de cette série TV a un casting différent, un décor différent et une réalité différente, mais ils traitent tous de la façon dont nous vivons maintenant - et de la façon dont nous pourrions vivre dans 10 minutes si nous sommes maladroits.
Le créateur de cette série explique que le titre de la série fait référence à la technologie que nous considérons comme une drogue : « Si c'est une drogue, alors quels en sont les effets secondaires ? C'est dans cette zone entre joie et embarras que Black Mirror se situe. Le « Black Mirror » du titre est celui que vous voyez sur chaque mur, sur chaque bureau et dans chaque main, un écran froid et brillant d'une télévision ou d'un smartphone. »"
Black Mirror - Bandersnatch,Black Mirror - Bandersnatch,2018,Picture 2812,B,B,"En 1984, un jeune programmeur remet en question la notion de réalité en adaptant un roman fantastique en jeu vidéo. Une histoire hallucinante aux multiples dénouements."
