Titre Français,Titre Anglais,Année,Pochette,Disque Français,Disque Anglais,Act,Anim,Aven,Bio,Bonus,Com,Crime,Doc,Drame,Fant,Guer,Hist,Hor,Mus,Myst,Rom,Sc-Fi,Série,Spec,Sport,Thril,West,Note,Nombre de Voteurs,Durée,Producteur,En Vedette,Audio Français,Audio Anglais,Traité,Double,Dernier Épisode Visionné,3D,Année(s) saison,Dernière saison,Produit / Créé par,Adresse Résumé,Nouveau,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Source,Y,Film Étranger,Mini Série,Z,A,B,Catastrophe,Version Originale,C,Bestiole,Tous,Vue,Pas Vue,Adresse Séries,Coup de Coeur,Série En Cours,Série Complété,Espion,Antique,Politique,Procès,Super-Héros,Tueur en Série,Vampire,Zombie,Terroriste,Sorcellerie,Asiatique,Érotique,Nouveauté,D,Scientifique,Archéologie,Mon Vote,Commentaires Jules,Société,Religion,Format,Commentaires Gérald,QTP,E,Nouv Com Jules,Nouv Com Gérald,Extraterrestre,Sélection du Jour
Mary Shelley,Mary Shelley,2017,Picture 2724,B,B,,,,X,,,,,X,,,X,,,,X,,,,,,,6.4,5178,120,Haifaa Al-Mansour ,"Ben Hardy, Stephen Dillane, Elle Fanning ",P:\Mary Shelley\Mary.Shelley.mkv,P:\Mary Shelley\Mary.Shelley.mkv,O,,,,,,,4507,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayhem,Mayhem,2017,Picture 2424,A,A,X,,,,,X,,,,,,,X,,,,,,,,,,6.3,9147,86,Joe Lynch ,"Steven Yeun,  Samara Weaving,  Steven Brand",A:\Mayhem\Mayhem.mkv,A:\Mayhem\Mayhem.mkv,O,,,,,,,4537,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Évadés de Maze,Maze,2017,Picture 2218,A,A,,,X,,,,X,,X,,,X,,,X,,,,,,X,,5.9,1490,92,Stephen Burke ,"Tom Vaughan-Lawlor,  Barry Ward,  Martin McCann ",A:\Les Évadés de Maze\Maze.mkv,A:\Les Évadés de Maze\Maze.mkv,O,,,,,,,4538,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megan Leavey,Megan Leavey,2017,Picture 1560,Z,B,,,,X,,,,,X,,X,,,,,,,,,,,,7.1,5480,116,Gabriela Cowperthwaite ,"Kate Mara,  Ramon Rodriguez,  Tom Felton ",Q:\Megan Leavey\Megan.Leavey.mkv,S:\Megan Leavey\Megan Leavey.mkv,O,double,,,,,,4563,,,,,,,,,,,,,,,,,Sel,,,,X,,X,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFKZ,MFKZ,2017,Picture 2967,B,B,X,X,,,,X,,,,,,,,,,,X,,,,X,,6.7,1082,94,"Shôjirô Nishimi,  Guillaume Renard","Orelsan, Gringe, Redouanne Harjane",P:\MFKZ\Mutafukaz.mkv,P:\MFKZ\Mutafukaz.mkv,O,,,,,,,4611,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dans la Tête d'un Profileur,Mindhunter,2017,Picture 2242,A,A,,,,,,,X,,X,,,,,,,,,X,,,,,8.6,83909,58,Joe Penhall ,"Jonathan Groff,  Holt McCallany,  Anna Torv",,,O,,,,,,C,4654,,,,,,,,,,,,,,,,,L3,,,,,X,X,,Anglais,,,X,X,,3178,X,,X,,,,,,X,,,,,,,,,,,J,Les personnages des tueurs ont été imaginés à partir de réels criminels et les dialogues lors des scènes en prison ont été écrits à partir d'entretiens qui ont réellement eu lieu.,,,,,,,,,,
Nelly et Simon - Mission Yéti,Mission Kathmandu - The Adventures of Nelly & Simon,2017,Picture 2468,A,,,X,X,,,X,,,,,,,,,,,,,,,,,5.8,39,,"Pierre Greco,  Nancy Florence Savard","Sylvie Moreau,  Guillaume Lemay-Thivierge,  Rachid Badouri ",I:\Nelly et Simon - Mission Yéti\Mission.Kathmandu.mkv,,O,,,,,,,4692,,,,,,,,,,,,,,,,,Sel,,,,,X,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Jeu de Molly,Molly's Game,2017,Picture 2217,A,A,,,,X,,,X,,X,,,,,,,,,,,,,,7.5,54558,140,Aaron Sorkin,"Jessica Chastain,  Idris Elba,  Kevin Costner  ",A:\Le Jeu de Molly\Mollys.Game.mkv,A:\Le Jeu de Molly\Mollys.Game.mkv,O,,,,,,,4710,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bonne histoire, excellente Jessica Chastain.",,,,,,
Parents Indignes,Mom and Dad,2017,Picture 2008,A,A,,,,,,,,,X,,,,X,,,,,,,,,,5.5,5775,86,Brian Taylor ,"Nicolas Cage,  Selma Blair,  Anne Winters ",A:\Parents Indignes\Mom.And.Dad.mkv,A:\Mom and Dad\Mom.and.Dad.mp4,O,double,,,,,,4711,,,,,,,,,,,,,,,,,L2,,,,,X,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,Scénario original. Le choix musical de ce film est abominable. Horreur très léger. ,,,,,,,,,,
Mère,Mother,2017,Picture 1742,Z,Z,,,,,,,,,X,,,,X,,X,,,,,,,,6.9,64372,121,Darren Aronofsky ,"Jennifer Lawrence,  Javier Bardem,  Ed Harris ",Z:\Mère\Mother.mkv,Z:\Mère\Mother.mkv,O,,,,,,,4770,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Très ésotérique. J'ai lu des explications sur le web, parait que ça traite de la vie, de la planète et de ce que en faisons. Trop flyé pour moi. Pas à revoir.",,,,,,
Mr. Long,Mr. Long,2017,Picture 4957,D,D,X,,,,,,X,,X,,,,,,,,,,,,,,7.1,1344,129,SABU ,"Chen Chang, Shô Aoyagi, Yi Ti Yao ",N:\Mr. Long\Mr.Long.mkv,N:\Mr. Long\Mr.Long.mkv,N,,,,,,,4790,,,,,,,,,,,,,,,,,Sel,,,,,,,,Japonais,,,X,,X,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,
Mudbound,Mudbound,2017,Picture 1674,Z,Z,,,,,,,,,X,,,,,,,,,,,,,,6.9,3276,134,Dee Rees ,"Carey Mulligan,  Garrett Hedlund,  Jason Clarke",Z:\Mudbound\Mudbound.mkv,Z:\Mudbound\Mudbound.mkv,O,,,,,,,4806,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Crime de l'Orient-Express,Murder on the Orient Express,2017,Picture 1988,A,A,,,,,,,X,,X,,,,,,X,,,,,,,,6.6,99969,114,Kenneth Branagh,"Kenneth Branagh,  Penélope Cruz,  Willem Dafoe ",A:\Le Crime de l'Orient-Express\Murder on the Orient Express.mkv,A:\Le Crime de l'Orient-Express\Murder on the Orient Express.mkv,O,,,,,,,4823,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muse,Muse,2017,Picture 2212,A,A,,,,,,,,,,,,,X,,,,X,,,,X,,5.3,1074,107,Jaume Balagueró ,"Elliot Cowan,  Franka Potente,  Ana Ularu ",A:\Muse\muse.mkv,A:\Muse\muse.mkv,O,,,,,,,4828,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Blind Date with Life,My Blind Date with Life,2017,Picture 2174,A,A,,,,X,,X,,,X,,,,,,,,,,,,,,7.1,2219,111,Marc Rothemund ,"Kostja Ullmann,  Jacob Matschenz,  Anna Maria Mühe  ",A:\My Blind Date with Life\My.Blind.Date.With.Life.mkv,A:\My Blind Date with Life\My.Blind.Date.With.Life.mkv,O,,,,,,,4844,,,,,,,,,,,,,,,,,Sel,,X,,,X,,,Allemand,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Friend Dahmer,My Friend Dahmer,2017,Picture 4113,C,C,,,,X,,,,,X,,,,,,,,,,,,,,6.2,15810,107,Marc Meyers ,"Ross Lynch, Alex Wolff, Anne Heche ",W:\My Friend Dahmer\My.Friend.Dahmer.mkv,W:\My Friend Dahmer\My.Friend.Dahmer.mkv,O,,,,,,,4853,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,X,,X,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
Mon Petit Poney - Le Film,My Little Pony - The Movie,2017,Picture 1990,A,A,,X,X,,,X,,,,X,,,,X,,,,,,,,,6.2,3885,99,Jayson Thiessen ,"Emily Blunt,  Kristin Chenoweth,  Liev Schreiber",A:\Mon Petit Poney - Le Film\My.Little.Pony.The.Movie.mkv,A:\Mon Petit Poney - Le Film\My.Little.Pony.The.Movie.mkv,O,,,,,,,4858,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ni Dieu, ni Maître - Une Histoire de l'Anarchisme","Ni Dieu, ni Maître - Une Histoire de l'Anarchisme",2017,Picture 4392,D,,,,,,,,,X,,,,X,,,,,,,,,,,8.7,58,72,Tancrède Ramonet,Redjep Mitrovitsa,,,O,,,,,2017,P,4952,,,,,,,,,,,,,,,,,Sel,,,X,,,,,,,,X,,X,3200,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,
Nikola Tesla - Le Mystère du Rayon de la Mort,Nikola Tesla - Le Mystère du Rayon de la Mort,2017,Picture 4226,D,,,,,,,,,X,,,,X,,,,,,,,,,,7.0,2,,Maryna Harrison,Jeff Wilburn,,,N,,,,,2017,P,4994,,,,,,,,,,,,,,,,,Sel,,,X,,,,,,,,X,,X,3203,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,
Novitiate,Novitiate,2017,Picture 2021,A,A,,,,,,,,,X,,,,,,,,,,,,,,6.6,1127,123,Margaret Betts,"Dianna Agron,  Julianne Nicholson,  Margaret Qualley ",A:\Novitiate\Novitiate.mkv,A:\Novitiate\Novitiate.mkv,O,,,,,,,5051,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djihadistes de Père en Fils,Of Fathers and Sons,2017,Picture 4335,D,,,,,,,,,X,,,X,,,,,,,,,,,,7.3,2103,99,Talal Derki,"Abu Osama, Ayman Osama, Osama Osama ",N:\Djihadistes de Père en Fils\Djihadistes de père en fils.mp4,,O,,,,,,,5084,,,,,,,,,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,X,,,,,X,,,,,,,,,,,,,,
Okja,Okja,2017,Picture 2301,A,A,X,,X,,,,,,X,,,,,,,,X,,,,,,7.4,59866,120,Joon-ho Bong,"Tilda Swinton,  Paul Dano,  Seohyun An",A:\Okja\Okja.mkv,A:\Okja\Okja.mkv,O,,,,,,,5091,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnaque à L.A.,Once Upon a Time in Venice,2017,Picture 1781,Z,Z,X,,,,,X,,,,,,,,,,,,,,,X,,5.2,9135,94,Mark Cullen ,"Bruce Willis,  John Goodman,  Jason Momoa",Z:\Arnaque à L.A\Once.Upon.a.Time.in.Venice.mkv,Z:\Arnaque à L.A\Once.Upon.a.Time.in.Venice.mkv,O,,,,,,,5121,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seuls les Braves,Only the Brave,2017,Picture 1899,A,A,,,,X,,,,,X,,,,,,,,,,,,,,7.8,12994,134,Joseph Kosinski ,"Josh Brolin,  Miles Teller,  Jeff Bridges",A:\Seuls les Braves\Only.The.Brave.mkv,A:\Seuls les Braves\Only.The.Brave.mkv,O,,,,,,,5147,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Origines,Origins - The Journey of Humankind,2017,Picture 4782,D,,,,,,,,,X,,,,X,,,,,,,,,,,6.8,454,60,"Celso R. García, Simon George, Niall MacCormick ","Jason Silva, Mark Monroe, Chris Fisher",,,N,,,,,2017,P,5174,,,,,,,,,,,,,,,,,Sel,,,X,,,,,,,,X,,X,3209,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Nos Âmes la Nuit,Our Souls at Night,2017,Picture 1586,Z,Z,,,,,,,,,X,,,,,,,X,,,,,,,6.9,1268,103,Ritesh Batra ,"Iain Armitage,  Jane Fonda,  Robert Redford ",Z:\Nos Âmes la Nuit\Our.Souls.at.Night.mkv,Z:\Nos Âmes la Nuit\Our.Souls.at.Night.mkv,O,,,,,,,5191,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Anges du Chaos,Outlaws,2017,Picture 3135,B,B,,,,,,,X,,X,,,,,,,,,,,,X,,5.6,394,92,Stephen McCallum ,"Ryan Corr, Abbey Lee, Simone Kessell ",S:\Les Anges du Chaos\Outlaws.mkv,S:\Les Anges du Chaos\Outlaws.mkv,O,,,,,,,5206,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outrage Coda,Outrage Coda,2017,Picture 4117,C,C,X,,,,,,X,,X,,,,,,,,,,,,,,6.3,2157,104,Takeshi Kitano ,"Takeshi Kitano, Toshiyuki Nishida, Tatsuo Nadaka ",W:\Outrage Coda\Outrage.Coda.mkv,W:\Outrage Coda\Outrage.Coda.mkv,O,,,,,,,5208,,,,,,,,,,,,,,,,,Sel,,,,,,,,Japonais,X,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Outside In,Outside In,2017,Picture 2340,A,A,,,,,,,,,X,,,,,,,,,,,,,,6.5,615,109,Lynn Shelton,"Edie Falco,  Jay Duplass,  Kaitlyn Dever  ",A:\Outside In\Outside.In.mkv,A:\Outside In\Outside.In.mkv,O,,,,,,,5209,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozark,Ozark,2017,Picture 5367,D,D,,,,,,,X,,X,,,,,,,,,X,,,X,,8.5,252510,60,"Jason Bateman, Alik Sakharov, Andrew Bernstein ","​Jason Bateman, ​Laura Linney, ​Sofia Hublitz",,,N,,,,,,C,9783,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,3218,,,X,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,
Paddington 2,Paddington 2,2017,Picture 2178,A,A,,X,X,,,X,,,,X,,,,,,,,,,,,,8.0,23043,103,Paul King ,"Ben Whishaw,  Hugh Grant,  Hugh Bonneville ",A:\Paddington 2\Paddington.2.mkv,A:\Paddington 2\Paddington.2.mkv,O,,,,,,,5226,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papillon,Papillon,2017,Picture 2729,B,B,,,,,,,X,,X,,,,,,X,,,,,,X,,7.1,15526,133,Michael Noer ,"Charlie Hunnam, Damijan Oklopdzic, Christopher Fairbank",P:\Papillon\Papillon.mkv,P:\Papillon\Papillon.mkv,O,,,,,,,5252,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,Très bon remake du film de 1973. Une petite coche en dessous juste à cause de la performance alors de Steve McQueen et Dustin Hoffman.,,,,,,
Paradox,Paradox,2017,Picture 3023,B,B,X,,,,,,,,,,,,,,,,,,,,,,6.6,2370,101,Wilson Yip ,"Louis Koo, Yue Wu, Ka Tung Lam ",S:\Paradox\Sha po lang.mkv,S:\Paradox\Sha po lang.mkv,O,,,,,,,5255,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Chinois,,,X,,X,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,
Patti Cakes,Patti Cakes,2017,Picture 1803,Z,Z,,,,,,,,,X,,,,,X,,,,,,,,,6.5,4851,109,Geremy Jasper ,"Danielle Macdonald,  Bridget Everett,  Siddharth Dhananjay ",Z:\Patti Cakes\Patti.Cakes.mkv,Z:\Patti Cakes\Patti.Cakes.mkv,O,,,,,,,5287,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Fil Caché,Phantom Thread,2017,Picture 2215,A,A,,,,,,,,,X,,,,,,,X,,,,,,,7.7,52885,130,Paul Thomas Anderson ,"Vicky Krieps,  Daniel Day-Lewis,  Lesley Manville",A:\Le Fil Caché\Phantom.Thread.mkv,A:\Le Fil Caché\Phantom.Thread.mkv,O,,,,,,,5341,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix Forgotten,Phoenix Forgotten,2017,Picture 2220,A,A,,,,,,,,,,,,,X,,X,,X,,,,X,,5.2,3735,87,Justin Barber ,"Florence Hartigan,  Luke Spencer Roberts,  Chelsea Lopez",A:\Phoenix Forgotten\Phoenix.Forgotten.mkv,A:\Phoenix Forgotten\Phoenix.Forgotten.mkv,O,,,,,,,5353,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirates des Caraïbes 5 - La Vengeance de Salazar,Pirates of the Caribbean 5 - Dead Men Tell No Tales,2017,Picture 1574,Z,Z,X,,X,,,,,,,X,,,,,,,,,,,,,6.8,133910,129,"Joachim Rønning,  Espen Sandberg ","Johnny Depp,  Geoffrey Rush,  Javier Bardem  ",,,O,,,X,,,,5381,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirates des Caraïbes 5 - La Vengeance de Salazar - Le Film,Pirates of the Caribbean 5 - Dead Men Tell No Tales - The Movie,2017,,Z,Z,X,,X,,,,,,,X,,,,,,,,,,,,,6.8,,,,,Z:\Pirates des Caraïbes 5 - La Vengeance de Salazar\Pirates.of.the.Caribbean.Dead.Men.Tell.No.Tales.mkv,Z:\Pirates des Caraïbes 5 - La Vengeance de Salazar\Pirates.of.the.Caribbean.Dead.Men.Tell.No.Tales.mkv,N,,,X,,,,,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirates des Caraïbes 5 - La Vengeance de Salazar - Le Film 3D,Pirates of the Caribbean 5 - Dead Men Tell No Tales - The Movie 3D,2017,,Z,Z,X,,X,,,,,,,X,,,,,,,,,,,,,6.8,,,,,Z:\Pirates des Caraïbes 5 - La Vengeance de Salazar (3D)\Pirates.Of.Caribbean.Salazar.s.Revenge.mkv,Z:\Pirates des Caraïbes 5 - La Vengeance de Salazar (3D)\Pirates.Of.Caribbean.Salazar.s.Revenge.mkv,N,,,X,,,,,,,,,,,,,,,,,,,,,Sel,,,,X,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Note Parfaite 3,Pitch Perfect 3,2017,Picture 2169,A,A,,,,,,X,,,,,,,,X,,,,,,,,,6.0,23123,93,Trish Sie ,"Anna Kendrick,  Rebel Wilson,  Brittany Snow ",A:\La Note Parfaite 3\Pitch.Perfect.3.mkv,A:\La Note Parfaite 3\Pitch.Perfect.3.mkv,O,,,,,,,5385,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Planète des Singes 9 - La Guerre,Planet of the Apes 9 - War,2017,Picture 1603,Z,Z,X,,X,,,,,,X,,,,,,,,X,,,,,,7.8,105385,140,Matt Reeves ,"Andy Serkis,  Woody Harrelson,  Steve Zahn",,,O,,,X,,,,5404,,,,,,,,,,,,,,,,,L3,,,,X,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,Tout aussi captivant que les deux films précédents. Vraiment très original tous ces films dont les acteurs principaux sont des singes.,,,,"J'ai beaucoup aimé tous les films de la série, anciens et nouveaux.",,,,,,
La Planète des Singes 9 - La Guerre - Le Film,Planet of the Apes 9 - War - The Movie,2017,,Z,Z,X,,X,,,,,,X,,,,,,,,X,,,,,,7.8,,,,,Z:\La Planète des Singes 9 - La Guerre\War.for.the.Planet.of.the.Apes.mkv,Z:\La Planète des Singes 9 - La Guerre\War.for.the.Planet.of.the.Apes.mkv,N,,,X,,,,,,,,,,,,,,,,,,,,,L3,,,,X,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,
La Planète des Singes 9 - La Guerre - Le Film 3D,Planet of the Apes 9 - War - The Movie 3D,2017,,Z,Z,X,,X,,,,,,X,,,,,,,,X,,,,,,7.8,,,,,Z:\La Planète des Singes 9 - La Guerre (3D)\War.for.the.Planet.of.the.Apes.mkv,Z:\La Planète des Singes 9 - La Guerre (3D)\War.for.the.Planet.of.the.Apes.mkv,N,,,X,,,,,,,,,,,,,,,,,,,,,L3,,,,X,,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,
Pornocratie - Les Nouvelles Multinationales du Sexe,Pornocratie - Les Nouvelles Multinationales du Sexe,2017,Picture 5378,D,D,,,,,,,,X,,,,,,,,,,,,,,,6.1,789,77,​Ovidie,"​Alissiya, ​Leyla Bentho, ​Grégory Dorcel",N:\Pornocratie - Les Nouvelles Multinationales du Sexe\Pornocratie.Les.nouvelles.multinationales.du.sexe.mkv,N:\Pornocratie - Les Nouvelles Multinationales du Sexe\Pornocratie.Les.nouvelles.multinationales.du.sexe.mkv,N,,,,,,,9795,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,
Power Rangers,Power Rangers,2017,Picture 2113,Z,Z,X,,X,,,,,,,,,,,,,,X,,,,,,6.1,63681,124,Dean Israelite ,"Dacre Montgomery,  Naomi Scott,  RJ Cyler",Z:\Power Rangers\Power Rangers.mkv,Z:\Power Rangers (anglais)\Power Rangers.mkv,O,,,,,,,5463,,,,,,,,,,,,,,,,,L3,,,,X,,,,Anglais,,,X,X,,,,,,,,,,X,,,,,,,,,,,,J,Un film de super-héros pour ados. Un peu cucul mais bons trucages et assez divertissant.,,,,,,,,,,
Professeur Marston et la Wonder Woman,Professor Marston and the Wonder Women,2017,Picture 1907,A,A,,,,X,,,,,X,,,,,,,,,,,,,,7.1,6093,108,Angela Robinson ,"Luke Evans,  Rebecca Hall,  Bella Heathcote ",A:\Professeur Marston et la Wonder Woman\Professor.Marston.and.the.Wonder.Women.mkv,A:\Professeur Marston et la Wonder Woman\Professor.Marston.and.the.Wonder.Women.mkv,O,,,,,,,5503,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propagande - La Fabrique du Consentement,Propagande - La Fabrique du Consentement,2017,Picture 4418,D,,,,,,,,,X,,,,,,,,,,,,,,,8.4,47,54,Jimmy Leipold ,"Ann Bernays, Edward Bernays, Charles Chaplin ",N:\Propagande - La Fabrique du Consentement\Propaganda.La.fabrique.du.consentement.mp4,,O,,,,,,,5517,,,,,,,,,,,,,,,,,Sel,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,X,,,,,X,,,,,,,,,
Magie Noire,Pyewacket,2017,Picture 2497,A,A,,,,,,,,,,,,,X,,,,,,,,X,,5.7,2944,90,Adam MacDonald ,"Nicole Muñoz, Laurie Holden, Chloe Rose",A:\Magie Noire\Pyewacket.mkv,A:\Pyewacket\Pyewacket.mkv,O,double,,,,,,5550,,,,,,,,,,,,,,,,,Sel,,,,,X,,,Anglais,,,X,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Quand l'Histoire Fait Dates,Quand l'Histoire Fait Dates,2017,Picture 4723,D,,,,,,,,,X,,,,X,,,,,,X,,,,,8.7,28,44,Denis van Waerebeke ,"Patrick Boucheron, Timothy Tackett, William Van Andriga",,,N,,,,,,P,5556,,,,,,,,,,,,,,,,,Sel,,,,,,,,,,,X,,X,3267,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Radius,Radius,2017,Picture 2496,A,,,,,,,,,,X,,,,,,X,,X,,,,,,6.2,7194,93,"Caroline Labrèche, Steeve Léonard ","Diego Klattenhoff, Charlotte Sullivan, Brett Donahue",A:\Radius\Radius.mkv,,O,,,,,,,5592,,,,,,,,,,,,,,,,,Sel,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,"Très original comme histoire, bon suspense, j'ai bien aimé.",,,,,,
Rememory,Rememory,2017,Picture 4008,C,C,,,,,,,,,X,,,,,,X,,X,,,,,,6.2,14950,111,Mark Palansky,"Peter Dinklage, Matt Ellis, Jordana Largy ",W:\Rememory\Rememory.mkv,W:\Rememory\Rememory.mkv,O,,,,,,,5688,,,,,,,,,,,,,,,,,Sel,,,,,,,,Anglais,X,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendel,Rendel,2017,Picture 2172,A,,X,,,,,,X,,X,,,,,,,,,,,,,,5.1,560,105,Jesse Haaja ,"Bianca Bradey,  Sheila Shah,  Alina Tomnikov ",A:\Rendel\Rendel.mkv,,O,,,,,,,5690,,,,,,,,,,,,,,,,,Sel,,X,,,X,,,,,,X,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Braqueurs d'Élite,Renegades,2017,Picture 3103,B,B,X,,X,,,,,,,,,,,,,,,,,,,,5.4,6978,106,Steven Quale ,"J.K. Simmons, Sullivan Stapleton, Charlie Bewley",S:\Braqueurs d'Élite\Renegades.mkv,S:\Braqueurs d'Élite\Renegades.mkv,O,,,,,,,5693,,,,,,,,,,,,,,,,,Sel,,,,,,X,,Anglais,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone Hostile,Rescue Under Fire,2017,Picture 1860,A,A,X,,,,,,,,X,,X,,,,,,,,,,X,,6.4,807,93,Adolfo Martínez Pérez ,"Ariadna Gil,  Raúl Mérida,  Roberto Álamo ",A:\Zone Hostile\Zona.Hostil.mkv,A:\Zone Hostile\Zona.Hostil.mkv,O,,,,,,,5706,,,,,,,,,,,,,,,,,Sel,,X,,,X,,,Espagnol,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resident Evil - Vendetta,Resident Evil - Vendetta,2017,Picture 2127,Z,,X,X,X,,,,,,,,,,X,,X,,X,,,,,,6.3,5340,97,"Takanori Tsujimoto,  Alexander Von David ","Kevin Dorman,  Matthew Mercer,  Erin Cahill  ",Z:\Resident Evil - Vendetta\Resident.Evil.Vendetta.mkv,,O,,,,,,,5711,,,,,,,,,,,,,,,,,Sel,,,,X,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
